google-research/google-research,32166,https://github.com/google-research/google-research/blob/a3af05295a4203315a0f56c0416e8dfa62caf206/cube_unfoldings/nauty_wrapper.cc
JetBrains/intellij-community,16329,https://github.com/JetBrains/intellij-community/blob/45d0890f92f15bd9bf7c181a939affff166da55e/spellchecker/testResources/data/missp.dat
NixOS/nixpkgs,14582,https://github.com/NixOS/nixpkgs/blob/28d6a724f54085377102db7c3278ba82a0a5255f/pkgs/applications/science/math/polymake/default.nix
Homebrew/homebrew-core,13051,https://github.com/Homebrew/homebrew-core/blob/f4ff6d5679f67ce8aa2f35479bf105af474df55e/Formula/n/nauty.rb
mysql/mysql-server,9981,https://github.com/mysql/mysql-server/blob/824e2b4064053f7daf17d7f3f84b7a3ed92e5fb4/extra/tirpc/libtirpc-1.3.3/THANKS
Unstructured-IO/unstructured,4826,https://github.com/Unstructured-IO/unstructured/blob/d06936d35a83d46dc58b94b492a4a7cede675464/example-docs/eml/fake-email-image-embedded.eml
Dolibarr/dolibarr,4710,https://github.com/Dolibarr/dolibarr/blob/fb283fdfe9d050f581eb4ce4814fd650bc9f799a/htdocs/langs/hu_HU/help.lang
spack/spack,3850,https://github.com/spack/spack/blob/b88c4792a79fdf0bfd3dfce5f8f8045701d3d45b/var/spack/repos/builtin/packages/nauty/package.py
joxeankoret/diaphora,3373,https://github.com/joxeankoret/diaphora/blob/a3f9be07978b5261b838934775162ce3e35874db/pygments/lexers/macaulay2.py
morpheus65535/bazarr,2424,https://github.com/morpheus65535/bazarr/blob/38094e63230f5c529946abf60bf06dcff4992501/libs/pygments/lexers/macaulay2.py
void-linux/void-packages,2303,https://github.com/void-linux/void-packages/blob/8993f4b4d3d6ed116f2bf4913dc78b73409e61ee/srcpkgs/nauty-devel
msys2/MINGW-packages,2111,https://github.com/msys2/MINGW-packages/blob/e15890555b8313a09e6a4c7a9aacb9648090a0d6/mingw-w64-nauty/PKGBUILD
gentoo/gentoo,1955,https://github.com/gentoo/gentoo/blob/afec9a9ec3cf8fec8796851b8c39ceac200162ac/sci-mathematics/nauty/nauty-2.8.8.ebuild
tobychui/arozos,1666,https://github.com/tobychui/arozos/blob/128a803c82dd865634f275d46b05ba8b8b37a82e/src/web/img/system/drive-virtual.svg
igraph/igraph,1645,https://github.com/igraph/igraph/blob/c0ecdc03323e4fc2d8ae03424d8c2a7c248de53b/src/cliques/cliquer/misc.h
macports/macports-ports,1401,https://github.com/macports/macports-ports/blob/e285f678578ab3c0e42fdaa0fd5506ee15e735d7/math/nauty/Portfile
percona/percona-xtrabackup,1157,https://github.com/percona/percona-xtrabackup/blob/0b39c4172b72c5adce2f084089267ab9d8549310/extra/tirpc/libtirpc-1.3.3/THANKS
percona/percona-server,1070,https://github.com/percona/percona-server/blob/78a93d56546f82168d2a553a08f072676e236955/extra/tirpc/libtirpc-1.3.3/THANKS
archlinuxarm/PKGBUILDs,968,https://github.com/archlinuxarm/PKGBUILDs/blob/a2a74bf19e8b5944a00c35143f929b41eb87c17e/extra/gap/.SRCINFO
openbabel/openbabel,950,https://github.com/openbabel/openbabel/blob/32cf131444c1555c749b356dab44fb9fe275271f/src/canon.cpp
verilog-to-routing/vtr-verilog-to-routing,931,https://github.com/verilog-to-routing/vtr-verilog-to-routing/blob/bcc45db29670c35068962ff5b8fd488342c9ffe9/abc/src/base/abci/abcSaucy.c
sagemath/sage,910,https://github.com/sagemath/sage/blob/30b3d78fac8d4a015ad2641cad44c3d530f4c10c/src/sage/features/nauty.py
berkeley-abc/abc,774,https://github.com/berkeley-abc/abc/blob/52e0a10bf75475ab97dc2474fff537e4c8cf6c86/src/base/abci/abcSaucy.c
gap-system/gap,740,https://github.com/gap-system/gap/blob/af76dd65ddf9787ae35d047f0e998fc7ebd11ba6/CHANGES.md
coin-or/Cbc,707,https://github.com/coin-or/Cbc/blob/702b9ca83390f5d208e8c820f0911d3c01a9f833/src/CbcSymmetry.hpp
alpinelinux/aports,612,https://github.com/alpinelinux/aports/blob/b73f3a6b45e1c323139b9a3a705165c48fe00bb0/testing/nauty/APKBUILD
ysig/GraKeL,555,https://github.com/ysig/GraKeL/blob/ea3a212a44b20e954fd811a00318305791d31574/misc/install_pynauty.py
logicalclocks/rondb,534,https://github.com/logicalclocks/rondb/blob/32b9760fb713cec7b817bfcd9777b8fa9496915a/extra/tirpc/libtirpc-1.3.3/THANKS
rust-lang/crates.io-index,522,https://github.com/rust-lang/crates.io-index/blob/0208a2e38397c8dfd0e8c3886757bac3ff56fb0b/sp/dk/spdkit-nauty
muhanzhang/SEAL,517,https://github.com/muhanzhang/SEAL/blob/ca1f019a15fb0c21796042165b4e6bee73981dd3/MATLAB/software/nauty26r7/nauty-h.in
igraph/rigraph,516,https://github.com/igraph/rigraph/blob/140a9474f42ffb6a86ec04fc413e11062306564c/AUTHORS-list.md
pfsense/FreeBSD-ports,446,https://github.com/pfsense/FreeBSD-ports/blob/c3a0cffb7a7ccb244c1b0123f87c4d80c45e057c/math/nauty/Makefile
ahilss/wavacity,371,https://github.com/ahilss/wavacity/blob/38ba56b96df2ba8265fcd471465c82842340da7d/src/effects/audiounits/AudioUnitEffect.h
allenai/PeerRead,369,https://github.com/allenai/PeerRead/blob/9bb37751781a900cee9e74ec3105997732c8e8e5/data/arxiv.cs.ai_2007-2017/train/parsed_pdfs/1608.08447.pdf.json
mackorone/spotify-playlist-archive,368,https://github.com/mackorone/spotify-playlist-archive/blob/5de405d3a7952a833e1468aeba0a737e112cb721/playlists/pretty/37i9dQZF1DX5wgKYQVRARv.md
coin-or/Clp,357,https://github.com/coin-or/Clp/blob/95fd6a649060398c9890fa60815af9f4f8ddfcb8/src/CbcOrClpParam.cpp
dfelinto/blender,338,https://github.com/dfelinto/blender/blob/87a0770bb969ce37d9a41a04c1658ea09c63933a/extern/quadriflow/3rd/lemon-1.3.1/lemon/nauty_reader.h
percona/percona-xtradb-cluster,326,https://github.com/percona/percona-xtradb-cluster/blob/d5ede9f3742466697e9c635aa44dd879df7f824a/extra/tirpc/libtirpc-1.3.3/THANKS
scipopt/scip,318,https://github.com/scipopt/scip/blob/c6ccb4094df3f71e7fb15262729a5aaccef8f59f/src/nauty/nauty.pc
Macaulay2/M2,309,https://github.com/Macaulay2/M2/blob/d9bdb52edc3f1d54eb4b6532271c640530aa9ceb/M2/Macaulay2/packages/Nauty.m2
AquariaOSE/Aquaria,276,https://github.com/AquariaOSE/Aquaria/blob/23b2d944507d38345e2ca7c5149328ac786ca242/files/scripts/maps/node_spawnnautilusprime.lua
JuliaPackaging/Yggdrasil,272,https://github.com/JuliaPackaging/Yggdrasil/blob/1f215b8b9e534989f216b8d90e7ea24362e35862/N/nauty/build_tarballs.jl
Unstructured-IO/unstructured-api,261,https://github.com/Unstructured-IO/unstructured-api/blob/561b9d857865d4fd1f05ef5ffc8db9eaaa2082fc/sample-docs/fake-email-image-embedded.eml
ferrandi/PandA-bambu,196,https://github.com/ferrandi/PandA-bambu/blob/04123a3edb37040db52c44f6591006391cf4a90b/ext/mockturtle/lib/percy/percy/generators/partial_dag3_generator.hpp
kaogeek/kaogeek-discord-bot,195,https://github.com/kaogeek/kaogeek-discord-bot/blob/93b9d746c4059a2d7a82f4f77b713ed2131d55c3/src/utils/generateTsv.spec.ts
project-gemmi/gemmi,182,https://github.com/project-gemmi/gemmi/blob/e471b13704c3bb0a6fc53c70b838df0dfa2088e1/docs/analysis.rst
gentoo-mirror/gentoo,165,https://github.com/gentoo-mirror/gentoo/blob/a17ce5067ae4d9dc941295993440010979ea6ee1/sci-mathematics/nauty/nauty-2.8.8.ebuild
lsils/mockturtle,164,https://github.com/lsils/mockturtle/blob/1134d1d60e8c68d0c6d7e9c25fc32f838353e8ad/lib/nauty/nauty.c
notmuch/notmuch,154,https://github.com/notmuch/notmuch/blob/2f0320c5f24adfee026e938ebc379ca90e3045d3/doc/man1/notmuch-tag.rst
ZJU-OpenKS/OpenKS,150,https://github.com/ZJU-OpenKS/OpenKS/blob/8a8de24cb37e2f2bfab133f85231ca1ca7d8dd02/openks/models/pytorch/KGNN/GraKeL/misc/install_pynauty.py
opnsense/ports,139,https://github.com/opnsense/ports/blob/729907b84b794e0d42d7a8ad933908d9f1958156/math/nauty/Makefile
andre-fuchs/kerning-pairs,138,https://github.com/andre-fuchs/kerning-pairs/blob/99d3f2f6e05eb668404e95e4873709118e137c29/text/cs/grouped-12.txt
boschmitt/tweedledum,93,https://github.com/boschmitt/tweedledum/blob/9d3a2fab17e8531e1edc0ab927397d449b9942a4/external/percy/percy/generators/partial_dag3_generator.hpp
deepskydetail/AstroSharp,92,https://github.com/deepskydetail/AstroSharp/blob/b632424fa2e9749d008851cf40f49b5fcec490d3/resources/app/R-Portable-Win/library/igraph/AUTHORS
scamsniffer/scam-database,88,https://github.com/scamsniffer/scam-database/blob/a7128291adb3977f19282f1ae95b2a54b8d4ab63/blacklist/archive/2023-09-01.json
rusty1s/deep-learning-cheatsheet,86,https://github.com/rusty1s/deep-learning-cheatsheet/blob/c43b6fbf2d740e8cba32d7f47dac1986940cdfa9/graph.md
szhorvat/IGraphM,85,https://github.com/szhorvat/IGraphM/blob/8de23ab6b2dcab448ba13bffe4c3a864c54927e7/IGraphM/ImportExport.m
polymake/polymake,76,https://github.com/polymake/polymake/blob/81e78a6fd37655e33f412807ebb53490f32a2d0d/demo/apps_polytope.ipynb
Zerbu/Mod-Constructor-5,71,https://github.com/Zerbu/Mod-Constructor-5/blob/609e3359188c6eef1264337c3ad7aa4ce665aa4f/Constructor5/Presets/Trait/AllTraitsBG.Presets.xml
beiyuouo/arxiv-daily,71,https://github.com/beiyuouo/arxiv-daily/blob/4cf973c50292b787d583fc6adae621efc71cd925/database/storage/storage_2022-04-26.md
ampl/coin,65,https://github.com/ampl/coin/blob/87b94749ab7f16b6ceafddea42224d1159d40ef5/Cbc/Cbc/src/config.h.in
StructureGenerator/surge,63,https://github.com/StructureGenerator/surge/blob/26a9525e3209b67362b2226dda3e6a9ef19d3ab2/README.md
mraggi/discreture,63,https://github.com/mraggi/discreture/blob/b1c52476eeffe6aad3d4dd6a6eeb4fd9e4277209/Talk/discreture-english.tex
coin-or/Couenne,62,https://github.com/coin-or/Couenne/blob/599d6a40599fa78a5b60bd3de8e49846b94702a5/src/branch/CouenneOrbitObj.cpp
felixonmars/aur3-mirror,61,https://github.com/felixonmars/aur3-mirror/blob/7ccd4e91fc0c4dcc0ad0faa7f411fbba36d19be4/sagemath-git/PKGBUILD
RuleWorld/bionetgen,55,https://github.com/RuleWorld/bionetgen/blob/b12a011b49e79e04f8520ca70c114d35bb51875f/bng-graph/nauty/nauty.h
muhanzhang/LinkPrediction,55,https://github.com/muhanzhang/LinkPrediction/blob/d4f2757bb243c888a658ae69a7d5f3f209f279e4/software/nauty26r7/nauty-h.in
lopezbec/COVID19_Tweets_Dataset,53,https://github.com/lopezbec/COVID19_Tweets_Dataset/blob/256c9d0d7184813eccc36684c032c9483c0c7d1e/Summary_Hashtag/2022_08/2022_08_23_19_Summary_Hashtag.csv
colobot/colobot-data,52,https://github.com/colobot/colobot-data/blob/1759e5bd31bf0cadaf44723f7852423fe6912df1/help/object/po/pl.po
freebsd/freebsd-ports-kde,51,https://github.com/freebsd/freebsd-ports-kde/blob/f5b24810ef2552f25ffa9f8632ad2b7fbcf18b8d/math/nauty/Makefile
